Negócio - Negócio criado em,Negócio - Organização 2,Negócio - Novo cliente?,Negócio - Etapa,Negócio - Status,Negócio - Data de ganho,Negócio - Data de perda,Organização - Canal de Origem,Negócio - Data atualizada,Negócio - Data da Última Atividade
2021-03-22 10:48:41,Imobiliária 1,Sim,07 - Negociação,Perdido,,2021-03-29 13:04:16,Tipo D,2021-08-04 11:47:13,2021-03-29
2021-03-22 10:56:21,Imobiliária 1,Não,05 - Acompanhamento,Perdido,,2021-03-22 16:37:50,Tipo D,2021-04-30 14:14:25,2021-03-23
2021-03-22 10:59:57,Imobiliária 1,Não,07 - Negociação,Ganho,2021-04-01 12:19:44,,Tipo D,2021-07-30 16:34:17,2021-04-01
2021-03-22 11:03:14,Imobiliária 1,Não,04 - Pós-visita,Perdido,,2021-03-22 15:49:21,Tipo D,2021-04-30 14:17:10,2021-03-23
2021-03-23 10:37:22,Imobiliária 5,Não,01 - Contato,Perdido,,2021-04-12 08:37:17,Tipo C,2021-04-30 14:58:51,2021-04-12
2021-03-23 17:49:28,Imobiliária 6,Sim,05 - Acompanhamento,Perdido,,2021-04-07 14:29:58,Tipo D,2021-04-30 14:41:34,2021-04-07
2021-03-25 14:03:01,Imobiliária 9,Sim,05 - Acompanhamento,Perdido,,2021-07-23 15:57:35,Tipo C,2021-07-23 15:57:36,2021-05-03
2021-03-26 10:28:22,Imobiliária 5,Não,01 - Contato,Em aberto,,,Tipo C,2021-04-30 14:58:38,
2021-03-26 11:03:14,Imobiliária 8,Sim,05 - Acompanhamento,Perdido,,2021-07-23 15:55:47,Tipo A,2021-07-23 15:55:47,2021-04-29
2021-03-26 14:30:24,Imobiliária 11,Sim,05 - Acompanhamento,Perdido,,2021-04-05 17:53:00,Tipo D,2021-04-30 14:36:27,2021-04-05
2021-03-26 15:16:20,Imobiliária 8,Sim,05 - Acompanhamento,Perdido,,2021-07-23 16:04:16,Tipo A,2021-07-23 16:04:17,2021-05-05
2021-03-26 15:33:25,Imobiliária 10,Não,05 - Acompanhamento,Perdido,,2021-04-20 15:32:19,Tipo C,2021-04-30 14:54:56,2021-04-15
2021-03-29 12:53:04,Imobiliária 8,Não,05 - Acompanhamento,Perdido,,2021-04-27 14:52:02,Tipo A,2021-04-30 14:52:20,2021-04-26
2021-03-29 17:06:56,Imobiliária 11,Não,05 - Acompanhamento,Perdido,,2021-04-14 09:03:21,Tipo D,2021-04-30 14:36:36,2021-04-13
2021-03-29 17:10:09,Imobiliária 11,Não,04 - Pós-visita,Perdido,,2021-03-30 09:03:58,Tipo D,2021-07-22 08:26:39,2021-03-30
2021-03-30 13:27:06,Imobiliária 8,Sim,03 - Visita Agendada,Perdido,,2021-03-30 18:02:29,Tipo A,2021-04-30 14:52:35,2021-03-30
2021-03-30 13:29:38,Imobiliária 8,Não,05 - Acompanhamento,Perdido,,2021-04-27 14:51:28,Tipo A,2021-04-30 14:52:45,2021-04-27
2021-03-30 17:16:42,Imobiliária 30,Sim,01 - Contato,Perdido,,2021-04-05 17:53:56,Tipo D,2021-04-30 14:54:34,2021-04-05
2021-03-30 17:18:45,Imobiliária 30,Não,05 - Acompanhamento,Perdido,,2021-07-23 16:01:07,Tipo D,2021-07-23 16:01:07,2021-04-26
2021-04-01 08:35:01,Imobiliária 33,Sim,01 - Contato,Perdido,,2021-04-07 14:21:59,Tipo C,2021-04-30 14:53:57,2021-04-08
2021-04-01 14:59:21,Imobiliária 8,Não,05 - Acompanhamento,Perdido,,2021-04-28 15:16:50,Tipo A,2021-04-30 14:52:59,2021-04-28
2021-04-01 17:49:11,Imobiliária 7,Sim,05 - Acompanhamento,Perdido,,2021-04-26 11:09:13,Tipo D,2021-04-30 14:56:19,2021-04-26
2021-04-01 17:51:03,Imobiliária 7,Não,05 - Acompanhamento,Perdido,,2021-04-20 15:26:33,Tipo D,2021-04-30 14:56:27,2021-04-19
2021-04-03 11:15:06,Imobiliária 8,Sim,01 - Contato,Perdido,,2021-04-12 08:35:39,Tipo A,2021-04-30 14:53:11,2021-04-07
